id ,kalimat,pasien,usia pasien,penyakit,gejala,kapan,periode,tindakan,outcome,pertanyaan,pembuka,penyebab,prakondisi,objek,penutup,referensi,artikel,observasi
1,"Dok kemarin malam tiba-tiba anak saya usia 6 tahun panas dingin, sebelumnya dia memang sudah batuk dan flu. ",1,1,1,1,1,,,,,,,,,,,,
2,baru malam ini panas dingin.,,,,1,1,,,,,,,,,,,,
3,obatnya apa ya dok? ,,,,,,,,,1,,,,,,,,
4,mohon bantuannya ya terima kasih,,,,,,,,,,,,,,,,,
5,"Alo, Terima kasih atas pertanyaannya.",,,,,,,,,,1,,,,,,,
6,Batuk dan flu dan panas dingin dapat disebabkan oleh banyak kemungkinan hal penyebab.,,,1,1,,,,,,,,,,,,,
7,"Berdasarkan dari riwayat keluhan yang Anda sampaikan, berikut beberapa kemungkinan penyebab hal tersebut: Batuk pilek biasa, Influenza, Radang tenggorokan, Covid-19.",,,,,,,,,,,1,1,,,,,
8,Terdapat beberapa anjuran yang dapat dilakukan untuk meringankan keluhan anak Anda.,,,,,,,,,,,,,,,,,
9,"Namun, apabila keluhan tidak membaik dalam 2-3 hari ke depan atau",,,,,,1,,,,,,1,,,,,
10," keluhan disertai dengan demam tinggi, sesak napas, batuk berdarah, penurunan BB, anak tampak sangat lemas atau sangat rewel, dll, periksakanlah anak ke dokter spesialis anak, ya.",,,,1,,,1,,,,,,,,,,
11,Dokter akan melakukan evaluasi lebih lanjut terkait dengan kondisi Anda ,,,,,,,1,,,,,,,,,,
12,dan memberikan terapi yang sesuai. ,,,,,,,1,,,,,,,,,,
13,"Untuk sementara waktu, berikut beberapa anjuran yang dapat dilakukan, seperti:",,,,,,,,,,,,,,1,,,
14,"Meminum obat pereda demam apabila suhu di atas 37,5 derajat Celsius.",,,,,,,1,,,,,1,1,,,,
15,Memberikan obat batuk yang dapat dibeli di apotek.,,,,,,,1,,,,,,1,,,,
16,Memberikan uap hangat.,,,,,,,1,,,,,,1,,,,
17,Minum air hangat minimal 1 liter per hari.,,,,,,,1,,,,,,1,,,,
18,Berkumur dengan larutan antiseptik atau larutan garam.,,,,,,,1,,,,,,1,,,,
19,Semoga informasi ini dapat membantu dan semoga lekas sembuh ya. Salam.,,,,,,,,,,,,,,1,,,
20,"Hallo dok, saya seorang Ibu dari anak usia 5,6 tahun mau bertanya dok",1,1,,,,,,,,,,,,,,,
21,"anak saya ini sering sekali mengalami batuk dan pilek, sehingga 1 bulan bisa 2-3 kali ke dokter dan di beri obat antibiotik terus setiap ke dokter",,,1,,,1,1,1,,,,,1,,,,
22,pertanyaan saya apakah aman penggunaan antibiotik yang berturut-turut,,,,,,,,,1,,,,1,,,,
23,"serta apa yang menyebabkan anak sering mengalami batuk pilek, padahal tidak dekat2 dengan orang yang sedang batuk pilek",,,,,,,,,1,,,1,,,,,
24, apakah ada pengaruh dari susu formula dan keju?,,,,,,,,,1,,,,1,,,,
25,"karena anak saya suka sekali keju.. tapi begitu batuk saya stop konsumsi keju, tapi masih tetap saja batuk.",,,,,,,1,1,,,,,,,,,
26,tolong pencerahannya ya dok.. terima kasih,,,,,,,,,,,,,,,,,
27,"Alo, terimakasih atas pertanyaannya.",,,,,,,,,,1,,,,,,,
,"Batuk dan pilek kemungkinan penyebabnya bisa banyak, misalnya karena alergi (seperti terhadap dingin, makanan, serbuk sari, bulu hewan),",,,1,,,,,,,,1,,1,,1,,
,"kontak dengan iritan (seperti asap, debu, udara kering),",,,,,,,,,,,1,,1,,,,
,"infeksi virus atau bakteri (termasuk COVID-19),",,,,,,,,,,,1,,1,,,,
,"refluks asam lambung ke tenggorokan,",,,,,,,,,,,1,,1,,,,
,"tenggorokan kering, gangguan imunitas,",,,,,,,,,,,1,,,,,,
28,"sensitifitas berlebih terhadap obat tertentu, ",,,,,,,,,,,1,,1,,,,
,bahkan mungkin tumor jinak atau ganas di sekitar saluran pernapasan.,,,,,,,,,,,1,,1,,,,
29,"Kondisi anak Anda yang sering mengalami batuk dan pilek bisa terjadi karena beragam pencetus, misalnya daya tahan tubuhnya yang lemah",,,1,,,,,,,,1,,,,,,
30,"lingkungannya yang kurang bersih,",,,,,,,,,,,1,,,,,,
31,"kontak dekat dengan penderita batuk dan pilek lain, atau lainnya.",,,,,,,,,,,1,,,,,,
32,"Tentu, mengingat penyebab batuk dan pilek ada banyak, maka penyebab sering sakitnya anak Anda juga tidak bisa digeneralisasikan seperti ini.",,,,,,,1,,,,,,,,,,
33,"Yang jelas, dokter yang bijak hanya akan memberikan antibiotik jika memang beliau yakin batuk dan pileknya muncul terkait infeksi bakteri. ",,,1,,,,1,,,,,1,,,,,
34,"Dan jika memang ada indikasi medis tepat yang mendasari, konsumsi antibiotik ini semestinya tidak berbahaya.",,,,,,,1,,,,,1,,,,,
35,"Saran kami, agar anak Anda tidak lagi sering batuk dan pilek, lakukanlah dulu:",,,,,,,,,,,,,,1,,,
36,"Mandikan ia dengan air hangat, jaga selalu tubuh anak Anda dan lingkungan sekitarnya agar bersih",,,,,,,1,,,,,,1,,,,
37,Jauhkan ia dari hal-hal penyebab alergi dan iritasi (seperti telah kami singgung di atas),,,,,,,1,,,,,,1,,,,
38,"Beri ia makan makanan dengan gizi seimbang, lengkap dengan buah yang mengandung kaya vitamin C dan antioksidan lainnya,",,,,,,,1,,,,,,1,,,,
39,"batasi kebiasaan memberinya makan es dan goreng-gorengan,",,,,,,,1,,,,,,1,,,,
40,jauhkan juga ia dari pemanis buatan dan makanan yang terlalu berampas,,,,,,,1,,,,,,1,,,,
41,"Beri anak banyak minum air hangat, bisa juga ditambah perasan lemon atau jahe saat sedang kambuh batuk dan pileknya,",,,,,,,1,,,,,1,1,,,,
42,"batasi pemberian cokelat, susu, dan dairy product",,,,,,,1,,,,,,1,,,,
43,"Ajarkan anak istirahat cukup, ",,,,,,,1,,,,,,,,,,
44,"berolahraga, dan menerapkan pola hidup sehat sedari kecil",,,,,,,1,,,,,,,,,,
45,"Ingatkan ia untuk selalu menggunakan masker, rajin mencuci tangan, dan jaga jarak dengan orang lain jika sedang beraktifitas di luar rumah atau di lingkungan ramai",,,,,,,1,,,,,,,,,,
46,"Beri anak vaksinasi lengkap sesuai anjuran dokter, termasuk vaksin influenza",,,,,,,1,,,,,,1,,,,
47,"Lebih lanjut, jika kondisi anak Anda belum tampak membaik,",,,,,,,,,,,,1,,,,,
48,"apalagi malah muncul sesak, demam, ingus kekuningan atau kehijauan, mengi, nyeri dada, muntah, dan keluhan lain yang berat,",,,,1,,,,,,,,1,,,,,
49,"sebaiknya ia diperiksakan langsung saja ke dokter, dokter THT, atau dokter anak terdekat ya..",,,,,,,1,,,,,,,,,,
50,"Selamat malam dok, Saya habis memeriksakan anak saya yang berusia 5 bulan 10 hari karena batuk pilek dan demam.",1,1,1,1,,,,,,,,,,,,,
51,kemudian dkasih resep Pacdin Cough sirup sekali minum 5ml setelah dibuka dirumah ternyata ada tulisan untuk 1 th ke atas.,,,,,,,1,,,,,1,,,,,
52,apakah aman jika dikonsumsi bayi usia 5 bulan 10 hari Terima kasih.,,,,,,,,,1,,,,,,,,
53,"Halo, terima kasih sudah bertanya di Alodokter.",,,,,,,,,,1,,,,,,,
